smile,PfDHFR,PfATP4,PfCRT,rrs_score,rrs_class
COC(=O)c1cc(C=C(C)C)cc2c1OCO2,-7.4,-5.4,-9.1,8.25,A
Br.CC(C)C(C)(C)CN=C(N)Nc1ccccc1,-7.0,-5.4,-8.0,7.5,B
C=C(Cl)CN=C(N)Nc1cccc(C(C)C)c1,-7.7,-5.1,-7.9,7.800000000000001,B
COc1cc(Nc2cc(C)nc3nc(C(F)(F)F)nn23)cc(OC)c1C,2.0,-7.1,-9.5,8.3,A
COc1ccc(Nc2cc(C)nc3nc(C(F)(F)F)nn23)cc1OC(C)C,-1.5,-7.1,-9.3,8.2,A
COc1cc(C)c(Nc2cc(C)nc3nc(C(F)(F)F)nn23)cc1OC,-0.4,-7.1,-9.0,8.05,A
COc1ccc(Nc2cc(C)nc3nc(C(F)(F)F)nn23)c(OC)c1,-2.5,-7.0,-8.6,7.8,B
Cc1cc(Nc2cc(Cl)cc(C(F)(F)F)c2)n2ncnc2n1,-3.6,-7.0,-9.3,8.15,A
Cc1cc(Nc2cccc(CCCO)c2)n2nc(C(F)(F)F)nc2n1,-2.6,-7.5,-9.2,8.35,A
Cc1cc(Nc2cccc(COC(C)C)c2)n2nc(C(F)(F)F)nc2n1,-2.0,-7.2,-9.1,8.15,A
FC(F)(F)c1cc(Nc2ccccc2)n2ncnc2n1,-7.2,-6.5,-9.2,8.2,A
COc1cc(C)c([C@H](C)NC(=O)c2cccc(C(N)=O)c2)cc1OC,3.1,-7.0,-9.1,8.05,A
CC(NCc1ccccc1)c1cc(O)ccc1F,-7.4,-6.1,-9.6,8.5,A
C[C@@H](NCc1ccc(CO)cc1)c1cc(Cl)ccc1F,-7.2,-5.9,-9.3,8.25,A
CC(NCc1ccccc1)c1cccc(O)c1F,-7.1,-6.4,-9.4,8.25,A
